run,mode,total_ms,yolo_ms,scene_ms,ocr_ms
1,serial,493,211,136,146
2,serial,478,176,158,144
3,serial,595,285,165,145
4,serial,484,168,161,155
5,serial,489,182,161,146
6,serial,468,167,162,139
7,serial,547,245,163,139
8,serial,519,220,162,137
9,serial,474,172,160,142
10,serial,485,168,162,155
